pokemon_name,ability_name,description,url
Bulbasaur,Overgrow,increases the power of,https://pokemondb.net/ability/overgrow
Bulbasaur,Chlorophyll,doubles the ability-bearer's Speed during,https://pokemondb.net/ability/chlorophyll
Charizard,Blaze,increases the power of,https://pokemondb.net/ability/blaze
Charizard,Tough Claws,increases the power of moves that make contact.,https://pokemondb.net/ability/tough-claws
Charizard,Drought,"creates harsh sunlight when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via",https://pokemondb.net/ability/drought
Charizard,Solar Power,"During harsh sunlight,",https://pokemondb.net/ability/solar-power
Weedle,Run Away,"allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like",https://pokemondb.net/ability/run-away
Weedle,Shield Dust,Blocks the added effects of attacks taken.,https://pokemondb.net/ability/shield-dust
Butterfree,Tinted Lens,Powers up “not very effective” moves.,https://pokemondb.net/ability/tinted-lens
Butterfree,Compound Eyes,raises the ability-bearer's accuracy by 30%.,https://pokemondb.net/ability/compound-eyes
Wartortle,Rain Dish,A Pokémon with,https://pokemondb.net/ability/rain-dish
Blastoise,Mega Launcher,increases the power of all,https://pokemondb.net/ability/mega-launcher
Crobat,Inner Focus,"prevents the Pokémon from flinching, for example when attacked by a move like",https://pokemondb.net/ability/inner-focus
Gyarados,Mold Breaker,prevents a target's ability from affecting moves that the,https://pokemondb.net/ability/mold-breaker
Gyarados,Moxie,increases the user's Attack one stage upon fainting an opponent.,https://pokemondb.net/ability/moxie
Crobat,Infiltrator,ignores the effects of,https://pokemondb.net/ability/infiltrator
Chinchou,Illuminate,has no effect in battle.,https://pokemondb.net/ability/illuminate
Articuno,Snow Cloak,raises ability-bearer's evasion by 20% in a hail storm. It also gives immunity to damage by hail (if they are not already protected by being,https://pokemondb.net/ability/snow-cloak
Chinchou,Water Absorb,A Pokémon with,https://pokemondb.net/ability/water-absorb
Articuno,Competitive,raises the ability-bearer's Special Attack by two stages when hit by a stat-lowering move.,https://pokemondb.net/ability/competitive
Shuckle,Contrary,Makes stat changes have an opposite effect.,https://pokemondb.net/ability/contrary
Shuckle,Gluttony,A Pokémon with,https://pokemondb.net/ability/gluttony
Kingdra,Swift Swim,doubles the ability-bearer's Speed during,https://pokemondb.net/ability/swift-swim
Heracross,Skill Link,causes multi-strike moves to always hit their maximum number of times. The moves affected are listed below; note that moves such as,https://pokemondb.net/ability/skill-link
Hoppip,Leaf Guard,"prevents the bearer from succumbing to major status ailments (sleep, burns, poisoning, paralysis or freezing) during sunny weather.",https://pokemondb.net/ability/leaf-guard
Sneasel,Pickpocket,Steals an item when hit by another Pokémon.,https://pokemondb.net/ability/pickpocket
